0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,3.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+00,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,5.000000e-01,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,4.000000e+00,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-1.000000e+02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,-5.000000e-02,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,6.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
0.000000e+00,0.000000e+00,0.000000e+00,
