x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
-1.000000e+00,1,1,1,5,0,0,1,1,1,1,
-9.800000e-01,2,2,2,8,1,1,2,2,2,2,
-9.600000e-01,1,1,1,0,0,0,1,1,1,1,
-9.400000e-01,1,1,1,3,2,2,1,1,1,1,
-9.200000e-01,1,1,0,3,1,1,1,1,1,1,
-9.000000e-01,0,0,0,2,1,1,0,0,0,0,
-8.800000e-01,1,1,1,8,2,2,1,1,1,1,
-8.600000e-01,3,3,3,12,3,3,3,3,3,3,
-8.400000e-01,0,0,1,13,1,1,0,0,0,0,
-8.200000e-01,0,0,0,4,1,1,0,0,0,0,
-8.000000e-01,2,2,2,8,2,2,2,2,2,2,
-7.800000e-01,0,0,0,9,0,0,0,0,0,0,
-7.600000e-01,0,0,0,4,1,1,0,0,0,0,
-7.400000e-01,1,1,1,6,1,1,1,1,1,1,
-7.200000e-01,3,3,3,9,2,2,3,3,3,3,
-7.000000e-01,2,2,2,7,2,2,2,2,2,2,
-6.800000e-01,0,0,0,6,1,1,0,0,0,0,
-6.600000e-01,1,1,1,2,0,0,1,1,1,1,
-6.400000e-01,0,0,0,5,0,0,0,0,0,0,
-6.200000e-01,0,0,0,4,0,0,0,0,0,0,
-6.000000e-01,1,1,2,3,1,1,1,2,1,1,
-5.800000e-01,1,1,1,1,2,2,1,1,1,1,
-5.600000e-01,1,1,1,7,0,0,1,1,1,1,
-5.400000e-01,1,1,1,5,1,1,1,1,1,1,
-5.200000e-01,1,1,2,4,2,2,1,1,1,1,
-5.000000e-01,1,1,1,3,0,0,1,1,1,1,
-4.800000e-01,1,1,1,7,1,1,1,1,1,1,
-4.600000e-01,0,0,0,0,0,0,0,0,0,0,
-4.400000e-01,0,0,0,4,1,1,0,0,0,0,
-4.200000e-01,0,0,0,7,0,0,0,0,0,0,
-4.000000e-01,0,0,0,3,1,1,0,0,0,0,
-3.800000e-01,1,1,1,6,1,1,1,1,1,1,
