x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
-4.000000e+00,75658844030539,75658844030539,75658844030539,75658844030528,75658844030539,75658844030539,75658844030539,75658844030539,680929596274847,75658844030539,
-3.900000e+00,167700084558098,167700084558098,167700084558098,167700084558089,167700084558099,167700084558099,167700084558098,167700084558098,1746079087980456,167700084558098,
-3.800000e+00,243156784423103,243156784423103,243156784423103,243156784423067,243156784423103,243156784423103,243156784423103,243156784423103,3208223766238337,243156784423103,
-3.700000e+00,307190317988103,307190317988103,307190317988103,307190317988093,307190317988103,307190317988103,307190317988103,307190317988103,4454764844476042,307190317988103,
-3.600000e+00,363162503652740,363162503652740,363162503652740,363162503652713,363162503652741,363162503652741,363162503652740,363162503652740,5608532043776372,363162503652740,
-3.500000e+00,413390376199912,413390376199912,413390376199912,413390376199888,413390376199912,413390376199912,413390376199912,413390376199912,7666761392230422,413390376199912,
-3.400000e+00,459559908944730,459559908944730,459559908944730,459559908944692,459559908944730,459559908944730,459559908944730,459559908944730,9572105946480754,459559908944730,
-3.300000e+00,502969218459847,502969218459847,502969218459847,502969218459807,502969218459847,502969218459847,502969218459847,502969218459847,13001505620799877,502969218459847,
-3.200000e+00,544682274252369,544682274252369,544682274252369,544682274252346,544682274252370,544682274252370,544682274252369,544682274252370,19256510901316468,544682274252369,
-3.100000e+00,585634971971982,585634971971982,585634971971982,585634971971967,585634971971983,585634971971983,585634971971982,585634971971982,9193920522208801726,585634971971982,
-3.000000e+00,626717463341376,626717463341376,626717463341376,626717463341356,626717463341376,626717463341376,626717463341376,626717463341376,9201981104541160591,626717463341376,
-2.900000e+00,668848609821168,668848609821168,668848609821168,668848609821163,668848609821168,668848609821168,668848609821168,668848609821168,9205634455634892447,668848609821168,
-2.800000e+00,713055927911395,713055927911395,713055927911395,713055927911381,713055927911396,713055927911396,713055927911395,713055927911395,9207571434493785365,713055927911395,
-2.700000e+00,760576148408197,760576148408197,760576148408197,760576148408168,760576148408197,760576148408197,760576148408197,760576148408197,9209582552349055103,760576148408197,
-2.600000e+00,812998409340294,812998409340294,812998409340294,812998409340260,812998409340294,812998409340294,812998409340294,812998409340294,9210880374684524330,812998409340294,
-2.500000e+00,887985996184317,887985996184317,887985996184317,887985996184310,887985996184318,887985996184318,887985996184317,887985996184317,9212055220774555072,887985996184317,
-2.400000e+00,1091666660130811,1091666660130811,1091666660130812,1091666660130788,1091666660130812,1091666660130812,1091666660130811,1091666660130811,9213309351897530374,1091666660130811,
-2.300000e+00,1329946924149801,1329946924149801,1329946924149801,1329946924149776,1329946924149801,1329946924149801,1329946924149801,1329946924149801,9214295369974997167,1329946924149801,
-2.200000e+00,1618726762312898,1618726762312898,1618726762312898,1618726762312896,1618726762312899,1618726762312899,1618726762312898,1618726762312898,9215078938922474097,1618726762312898,
-2.100000e+00,1985491226930351,1985491226930351,1985491226930351,1985491226930316,1985491226930351,1985491226930351,1985491226930351,1985491226930351,9216145362935770512,1985491226930351,
