x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
-3.141593e+00,431880310423497,431880310423497,431880310423497,4368523916211608638,431880310423496,431880310423496,431880310423497,431880310423497,431880310423497,1080834806210035,
-3.078761e+00,0,0,0,2,1,1,0,0,0,3,
-3.015929e+00,2,2,2,15,1,1,2,2,2,2,
-2.953097e+00,4,4,4,21,4,4,4,4,4,4,
-2.890265e+00,2,2,2,13,1,1,2,2,2,1,
-2.827433e+00,1,1,1,7,0,0,1,1,1,1,
-2.764602e+00,2,2,2,7,1,1,2,2,2,1,
-2.701770e+00,1,1,1,14,0,0,1,1,1,1,
-2.638938e+00,0,0,0,0,1,1,0,0,0,0,
-2.576106e+00,0,0,0,1,1,1,0,0,0,0,
-2.513274e+00,1,1,1,1,1,1,1,1,1,1,
-2.450442e+00,0,0,0,0,1,1,0,0,0,0,
-2.387610e+00,2,2,2,6,2,2,2,2,2,2,
-2.324779e+00,0,0,0,8,1,1,0,0,0,1,
-2.261947e+00,6,6,6,40,5,5,6,6,6,5,
-2.199115e+00,3,3,3,14,2,2,3,3,3,3,
-2.136283e+00,2,2,2,5,2,2,2,2,2,3,
-2.073451e+00,3,3,3,31,2,2,3,3,3,2,
-2.010619e+00,1,1,1,4,0,0,1,1,1,0,
-1.947787e+00,3,3,3,12,2,2,3,3,3,3,
-1.884956e+00,1,1,1,8,1,1,1,1,1,1,
-1.822124e+00,1,1,1,3,0,0,1,1,1,2,
-1.759292e+00,2,2,2,3,1,1,2,2,2,1,
-1.696460e+00,0,0,0,7,1,1,0,0,0,3,
-1.633628e+00,2,2,3,24,3,3,2,2,2,4,
-1.570796e+00,462559710315444,462559710315444,462559710315444,4641646993395727,462559710315445,462559710315445,462559710315444,462559710315444,462559710315444,332619533451493,
-1.507964e+00,3,3,3,16,2,2,3,3,3,4,
-1.445133e+00,3,3,3,17,2,2,3,3,3,0,
-1.382301e+00,0,0,0,3,1,1,0,0,0,0,
-1.319469e+00,1,1,1,13,2,2,1,1,1,2,
-1.256637e+00,0,0,0,1,1,1,0,0,0,0,
-1.193805e+00,1,1,1,10,0,0,1,1,1,1,
-1.130973e+00,0,0,0,3,1,1,0,0,0,0,
-1.068142e+00,2,2,2,21,2,2,2,2,2,2,
-1.005310e+00,5,5,5,38,6,6,5,5,5,5,
-9.424778e-01,2,2,2,13,3,3,2,2,2,2,
-8.796459e-01,2,2,2,37,3,3,2,2,2,2,
-8.168141e-01,1,1,1,5,2,2,1,1,1,1,
-7.539822e-01,1,1,1,9,1,1,1,1,1,1,
-6.911504e-01,1,1,1,8,1,1,1,1,1,1,
-6.283185e-01,2,2,1,6,2,2,2,2,2,1,
-5.654867e-01,2,2,2,1,1,1,2,2,2,2,
-5.026548e-01,0,0,0,8,0,0,0,0,0,0,
-4.398230e-01,0,0,0,2,1,1,0,0,0,0,
-3.769911e-01,2,2,2,13,3,3,2,2,2,2,
-3.141593e-01,0,0,0,15,0,0,0,0,0,0,
-2.513274e-01,1,1,1,12,1,1,1,1,1,1,
-1.884956e-01,1,1,1,19,2,2,1,1,1,2,
-1.256637e-01,3,3,3,29,4,4,3,3,3,3,
-6.283185e-02,3,3,3,26,3,3,3,3,3,3,
4.440892e-16,900719925474099,900719925474099,900719925474099,4376598117878648013,900719925474099,900719925474099,900719925474099,900719925474099,900719925474099,900719925474099,
6.283185e-02,0,0,0,11,1,1,0,0,0,0,
1.256637e-01,1,1,1,11,1,1,1,1,1,1,
1.884956e-01,0,0,0,1,0,0,0,0,0,0,
2.513274e-01,1,1,1,2,1,1,1,1,1,1,
3.141593e-01,1,1,1,13,1,1,1,1,1,1,
3.769911e-01,3,3,2,13,2,2,3,3,3,3,
4.398230e-01,2,2,2,10,1,1,2,2,2,2,
5.026548e-01,1,1,1,3,0,0,1,1,1,1,
5.654867e-01,2,2,2,3,1,1,2,2,2,2,
6.283185e-01,1308822663357506,1308822663357506,1308822663357506,4603410510198705417,1308822663357505,1308822663357505,1308822663357506,1308822663357506,1308822663357506,4603410510198705417,
6.911504e-01,1490280651046282,1490280651046282,1490280651046282,4604136342149461554,1490280651046282,1490280651046282,1490280651046282,1490280651046282,1490280651046282,4602980551575209294,
7.539822e-01,201383969464621,201383969464621,201383969464621,805535877858491,201383969464621,201383969464621,201383969464621,201383969464621,201383969464621,805535877858487,
8.168141e-01,113336988799871,113336988799871,113336988799871,727786031292720,113336988799870,113336988799870,113336988799871,113336988799871,113336988799871,727786031292714,
8.796459e-01,129614056719283,129614056719283,129614056719283,518456226877136,129614056719283,129614056719283,129614056719283,129614056719283,129614056719283,518456226877125,
9.424778e-01,150951265056088,150951265056088,150951265056088,603805060224350,150951265056088,150951265056088,150951265056088,150951265056088,150951265056088,603805060224351,
1.005310e+00,179572874166245,179572874166245,179572874166245,718291496664987,179572874166245,179572874166245,179572874166245,179572874166245,179572874166245,718291496664972,
1.068142e+00,219095967131955,219095967131955,219095967131955,876383868527837,219095967131955,219095967131955,219095967131955,219095967131955,219095967131955,876383868527825,
1.130973e+00,137861906610834,137861906610834,137861906610834,959038598491627,137861906610834,137861906610834,137861906610834,137861906610834,137861906610834,959038598491597,
1.193805e+00,180415784668743,180415784668743,180415784668744,721663138674975,180415784668743,180415784668743,180415784668743,180415784668743,180415784668743,721663138674961,
1.256637e+00,248586020774659,248586020774659,248586020774659,994344083098647,248586020774659,248586020774659,248586020774659,248586020774659,248586020774659,994344083098631,
1.319469e+00,367970803897928,367970803897928,367970803897928,1471883215591715,367970803897927,367970803897927,367970803897928,367970803897928,367970803897928,1471883215591710,
1.382301e+00,303416677617149,303416677617149,303416677617149,1332175720297578,303416677617148,303416677617148,303416677617149,303416677617149,303416677617149,1332175720297586,
1.445133e+00,602048292975951,602048292975951,602048292975951,2408193171903813,602048292975950,602048292975950,602048292975951,602048292975951,602048292975951,2408193171903803,
