x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,intel-mkl,mathematica,
0.000000e+00,0,0,0,0,0,0,0,0,
1.000000e-02,0,0,0,0,1,1,0,0,
2.000000e-02,9,9,9,9,9,9,9,9,
3.000000e-02,14,14,14,12,13,13,14,14,
4.000000e-02,0,0,0,0,1,1,0,0,
5.000000e-02,1,1,1,0,1,1,1,1,
6.000000e-02,14,14,14,15,14,14,14,14,
7.000000e-02,1,1,1,0,0,0,1,1,
8.000000e-02,0,0,0,0,0,0,0,0,
9.000000e-02,0,0,0,0,0,0,0,0,
1.000000e-01,9,9,9,8,9,9,9,9,
1.100000e-01,1,1,1,0,1,1,1,1,
1.200000e-01,4,4,4,4,3,3,4,4,
1.300000e-01,9,9,9,8,8,8,9,9,
1.400000e-01,2,2,2,1,1,1,2,2,
1.500000e-01,7,7,7,6,6,6,7,7,
1.600000e-01,0,0,0,0,1,1,0,0,
1.700000e-01,1,1,1,0,1,1,1,1,
1.800000e-01,5,5,5,4,4,4,5,5,
1.900000e-01,3,3,3,3,3,3,3,3,
2.000000e-01,9,9,9,8,9,9,9,9,
2.100000e-01,1,1,1,1,0,0,1,1,
2.200000e-01,0,0,0,0,1,1,0,0,
2.300000e-01,0,0,0,1,1,1,0,0,
2.400000e-01,6,6,6,5,6,6,6,6,
2.500000e-01,0,0,0,0,0,0,0,0,
2.600000e-01,3,3,3,2,2,2,3,3,
2.700000e-01,2,2,2,0,1,1,2,2,
2.800000e-01,1,1,1,0,0,0,1,1,
2.900000e-01,2,2,2,1,2,2,2,2,
3.000000e-01,0,0,0,1,0,0,0,0,
3.100000e-01,1,1,1,1,0,0,1,1,
3.200000e-01,0,0,0,0,0,0,0,0,
3.300000e-01,4,4,4,4,4,4,4,4,
3.400000e-01,1,1,1,0,0,0,1,1,
3.500000e-01,3,3,3,2,3,3,3,3,
3.600000e-01,0,0,0,0,0,0,0,0,
3.700000e-01,1,1,1,0,1,1,1,0,
3.800000e-01,3,3,3,3,3,3,3,3,
3.900000e-01,4,4,4,3,4,4,4,4,
4.000000e-01,4,4,4,4,4,4,4,4,
4.100000e-01,4,4,4,4,3,3,4,4,
4.200000e-01,0,0,0,0,0,0,0,0,
4.300000e-01,1,1,1,0,1,1,1,1,
4.400000e-01,1,1,1,0,1,1,1,1,
4.500000e-01,5,5,5,3,4,4,5,5,
4.600000e-01,4,4,4,3,4,4,4,4,
4.700000e-01,2,2,2,2,1,1,2,2,
4.800000e-01,4,4,4,4,3,3,4,4,
4.900000e-01,0,0,0,0,0,0,0,0,
5.000000e-01,3,3,3,2,2,2,3,3,
5.100000e-01,0,0,0,0,0,0,0,0,
5.200000e-01,4,4,4,4,3,3,4,4,
5.300000e-01,3,3,3,4,3,3,3,3,
5.400000e-01,2,2,2,2,2,2,2,2,
5.500000e-01,1,1,1,2,1,1,1,1,
5.600000e-01,2,2,2,1,1,1,2,2,
5.700000e-01,0,0,0,0,1,1,0,0,
5.800000e-01,4,4,4,3,4,4,4,4,
5.900000e-01,5,5,5,3,4,4,5,5,
6.000000e-01,0,0,0,not_finite,1,1,0,not_finite,
6.100000e-01,2,2,2,2,2,2,2,2,
6.200000e-01,1,1,1,0,0,0,1,1,
6.300000e-01,1,1,1,1,0,0,1,1,
6.400000e-01,0,0,0,0,1,1,0,0,
6.500000e-01,1,1,1,1,0,0,1,1,
6.600000e-01,0,0,0,0,0,0,0,0,
6.700000e-01,1,1,1,0,0,0,1,1,
6.800000e-01,1,1,1,0,1,1,1,1,
6.900000e-01,3,3,3,2,2,2,3,3,
7.000000e-01,2,2,2,3,2,2,2,2,
7.100000e-01,3,3,3,4,3,3,3,3,
7.200000e-01,1,1,1,1,0,0,1,1,
7.300000e-01,1,1,1,0,1,1,1,1,
7.400000e-01,3,3,3,3,3,3,3,3,
7.500000e-01,2,2,2,3,2,2,2,2,
7.600000e-01,3,3,3,3,3,3,3,3,
7.700000e-01,1,1,1,1,0,0,1,1,
7.800000e-01,3,3,3,3,3,3,3,3,
7.900000e-01,4,4,4,4,3,3,4,4,
8.000000e-01,4,4,4,4,4,4,4,4,
8.100000e-01,0,0,0,0,0,0,0,0,
8.200000e-01,4,4,4,3,3,3,4,4,
8.300000e-01,4,4,4,4,4,4,4,4,
8.400000e-01,1,1,1,1,0,0,1,1,
8.500000e-01,4,4,4,3,3,3,4,4,
8.600000e-01,2,2,2,1,2,2,2,2,
8.700000e-01,2,2,2,2,2,2,2,2,
8.800000e-01,5,5,5,4,4,4,5,5,
8.900000e-01,2,2,2,1,2,2,2,2,
9.000000e-01,4,4,4,3,4,4,4,4,
9.100000e-01,3,3,3,3,3,3,3,3,
9.200000e-01,5,5,5,3,4,4,5,5,
9.300000e-01,3,3,3,2,2,2,3,3,
9.400000e-01,4,4,4,4,3,3,4,4,
9.500000e-01,2,2,2,2,1,1,2,2,
9.600000e-01,1,1,1,1,1,1,1,1,
9.700000e-01,2,2,2,2,1,1,2,2,
9.800000e-01,3,3,3,2,2,2,2,2,
9.900000e-01,1,1,1,1,0,0,1,1,
1.000000e+00,0,0,0,0,0,0,0,0,
